LOCATION,TIME,Value
SVK,2020-03,2.318841
SVK,2020-04,2.082128
SVK,2020-05,1.959654
SVK,2020-06,1.785714
SVK,2020-07,1.783659
SVK,2020-08,1.435132
SVK,2020-09,1.376147
SVK,2020-10,1.549053
SVK,2020-11,1.489971
SVK,2020-12,1.549053
ESP,2017-11,1.665895
ESP,2017-12,1.112211
ESP,2018-01,0.5744522
ESP,2018-02,1.07395
ESP,2018-03,1.214627
ESP,2018-04,1.07864
ESP,2018-05,2.051739
ESP,2018-06,2.274264
ESP,2018-07,2.246648
ESP,2018-08,2.189005
ESP,2018-09,2.259904
ESP,2018-10,2.262633
ESP,2018-11,1.686107
ESP,2018-12,1.183323
ESP,2019-01,0.9797102
ESP,2019-02,1.089934
ESP,2019-03,1.337842
ESP,2019-04,1.520732
ESP,2019-05,0.8097671
ESP,2019-06,0.4292175
ESP,2019-07,0.5268846
ESP,2019-08,0.3276287
ESP,2019-09,0.08363052
ESP,2019-10,0.1285824
ESP,2019-11,0.408101
ESP,2019-12,0.7882764
ESP,2020-01,1.097302
ESP,2020-02,0.7316931
ESP,2020-03,-0.01832244
ESP,2020-04,-0.716993
ESP,2020-05,-0.9157003
ESP,2020-06,-0.3415248
ESP,2020-07,-0.6201164
ESP,2020-08,-0.5196127
ESP,2020-09,-0.3697799
ESP,2020-10,-0.8095048
ESP,2020-11,-0.8138342
ESP,2020-12,-0.5321777
ESP,2021-01,0.4568051
SWE,2017-11,1.867337
SWE,2017-12,1.736111
SWE,2018-01,1.577953
SWE,2018-02,1.607606
SWE,2018-03,1.901902
SWE,2018-04,1.729178
SWE,2018-05,1.902157
SWE,2018-06,2.06541
SWE,2018-07,2.051345
SWE,2018-08,1.995792
SWE,2018-09,2.323713
SWE,2018-10,2.269775
SWE,2018-11,1.962721
SWE,2018-12,2.041632
SWE,2019-01,1.875911
SWE,2019-02,1.893065
SWE,2019-03,1.851056
SWE,2019-04,2.143075
SWE,2019-05,2.162508
SWE,2019-06,1.780172
SWE,2019-07,1.65592
SWE,2019-08,1.444043
SWE,2019-09,1.452558
SWE,2019-10,1.608611
SWE,2019-11,1.803874
SWE,2019-12,1.750685
SWE,2020-01,1.296567
SWE,2020-02,1.042233
SWE,2020-03,0.6389584
SWE,2020-04,-0.3621562
SWE,2020-05,-0.01194208
SWE,2020-06,0.7085837
SWE,2020-07,0.5270995
SWE,2020-08,0.8014594
SWE,2020-09,0.3929156
SWE,2020-10,0.2767528
SWE,2020-11,0.1902723
SWE,2020-12,0.4915897
SWE,2021-01,1.583439
CHE,2017-11,0.7870397
CHE,2017-12,0.8387053
CHE,2018-01,0.7402101
CHE,2018-02,0.6281072
CHE,2018-03,0.7953932
CHE,2018-04,0.8031968
CHE,2018-05,0.9992394
CHE,2018-06,1.146591
CHE,2018-07,1.230301
CHE,2018-08,1.181087
CHE,2018-09,0.9894733
CHE,2018-10,1.106587
CHE,2018-11,0.9219926
CHE,2018-12,0.6914908
CHE,2019-01,0.5600928
CHE,2019-02,0.5785826
CHE,2019-03,0.7290729
CHE,2019-04,0.7080104
CHE,2019-05,0.6342693
CHE,2019-06,0.600248
CHE,2019-07,0.3118107
CHE,2019-08,0.3179044
CHE,2019-09,0.1483133
CHE,2019-10,-0.253111
CHE,2019-11,-0.1311894
CHE,2019-12,0.1557662
CHE,2020-01,0.2022912
CHE,2020-02,-0.06220843
CHE,2020-03,-0.5151643
CHE,2020-04,-1.062972
CHE,2020-05,-1.324572
CHE,2020-06,-1.274768
CHE,2020-07,-0.9198853
CHE,2020-08,-0.8661587
CHE,2020-09,-0.7998837
CHE,2020-10,-0.5703256
CHE,2020-11,-0.6847875
CHE,2020-12,-0.8138226
CHE,2021-01,-0.5443183
TUR,2017-11,12.98426
TUR,2017-12,11.91974
TUR,2018-01,10.34563
TUR,2018-02,10.25913
TUR,2018-03,10.23457
TUR,2018-04,10.84953
TUR,2018-05,12.14707
TUR,2018-06,15.38511
TUR,2018-07,15.84902
TUR,2018-08,17.89643
TUR,2018-09,24.51892
TUR,2018-10,25.24032
